dataset_id,kind,path,infos_csv,pixel_size,sources,has_inference,n_samples,ignored,dvc_target,description
processed:data/otite_ds_-1,processed,data/otite_ds_-1,data/otite_ds_-1/infos.csv,,otite_ds_-1,no,1840,no,data/otite_ds_-1,
processed:data/otite_ds_224,processed,data/otite_ds_224,data/otite_ds_224/infos.csv,224,,no,2111,no,data/otite_ds_224,
processed:data/otite_ds_32,processed,data/otite_ds_32,data/otite_ds_32/infos.csv,32,,no,1840,no,data/otite_ds_32,
processed:data/otite_ds_64/USA_Turquie_Chili,processed,data/otite_ds_64/USA_Turquie_Chili,data/otite_ds_64/USA_Turquie_Chili/infos.csv,64,USA_Turquie_Chili,no,2096,no,data/otite_ds_64/USA_Turquie_Chili,
processed:data/otite_ds_64/USA_Turquie_Chili_GMFUNL,processed,data/otite_ds_64/USA_Turquie_Chili_GMFUNL,data/otite_ds_64/USA_Turquie_Chili_GMFUNL/infos.csv,64,USA_Turquie_Chili_GMFUNL,no,2111,no,data/otite_ds_64/USA_Turquie_Chili_GMFUNL,
processed:data/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,processed,data/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,data/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference/infos.csv,64,USA_Turquie_Chili_GMFUNL_inference,yes,2144,no,data/otite_ds_64/USA_Turquie_Chili_GMFUNL_inference,
processed:data/otite_ds_64/old,processed,data/otite_ds_64/old,data/otite_ds_64/old/infos.csv,64,old,no,2111,no,data/otite_ds_64/old,
processed:data/otite_ds_64_old,processed,data/otite_ds_64_old,data/otite_ds_64_old/infos.csv,,otite_ds_64_old,no,1840,no,data/otite_ds_64_old,
raw:Banque_Calaman_USA_2020,raw,data/datasets/Banque_Calaman_USA_2020,,,Banque_Calaman_USA_2020,no,,yes,data/datasets/Banque_Calaman_USA_2020,
raw:Banque_Calaman_USA_2020_trie_CM,raw,data/datasets/Banque_Calaman_USA_2020_trie_CM,,,Banque_Calaman_USA_2020_trie_CM,no,,no,data/datasets/Banque_Calaman_USA_2020_trie_CM,
raw:Banque_Comert_Turquie_2020,raw,data/datasets/Banque_Comert_Turquie_2020,,,Banque_Comert_Turquie_2020,no,,yes,data/datasets/Banque_Comert_Turquie_2020,
raw:Banque_Comert_Turquie_2020_jpg,raw,data/datasets/Banque_Comert_Turquie_2020_jpg,,,Banque_Comert_Turquie_2020_jpg,no,,no,data/datasets/Banque_Comert_Turquie_2020_jpg,
raw:Banque_Viscaino_Chili_2020,raw,data/datasets/Banque_Viscaino_Chili_2020,,,Banque_Viscaino_Chili_2020,no,,no,data/datasets/Banque_Viscaino_Chili_2020,
raw:GMFUNL_jan2023,raw,data/datasets/GMFUNL_jan2023,,,GMFUNL_jan2023,no,,no,data/datasets/GMFUNL_jan2023,
raw:inference,raw,data/datasets/inference,,,inference,yes,,no,data/datasets/inference,
